brand,avg_actual_price,avg_predicted_price,avg_residual,median_residual,sample_count
msi,2010.5776923076921,1569.2960306558484,441.28166165184405,261.15032234681894,13
asus,1370.7606896551724,1178.219269996843,192.54141965832943,-35.47717095238039,29
lenovo,1136.9584905660379,1098.0048423363182,38.9536482297195,-51.013627479850925,53
dell,1540.5283916083915,1561.9509113706447,-21.422519762253263,-81.43149315663743,286
hp,989.5991836734694,1113.4285910462886,-123.82940737281916,-135.7442742544098,49
acer,772.666875,1084.437617690452,-311.770742690452,-179.79235114244565,16
